Name of Operation,District,Area,Geographic Location,Licensed 2016,Opening Year,Hotel Rooms,Hotel Units,Total beds,Hotel Employment Males National,Hotel Employment Females National,Hotel Employment Males Foreign,Hotel Employment Females Foreign,Latitude,Longitude
Casa Punta Azul,Belize,San Pedro,Nothern Islands,Yes,2013,2,2,3,0,1,0,0,,
Casa Redonda,Belize,San Pedro,Nothern Islands,Yes,2005,8,8,9,1,1,0,0,,
Casa Rosado,Belize,Caye Caulker,Northern Islands ,Yes,2002,4,2,4,0,1,0,0,17.745082,-88.024693
Casa Santa Maria,Cayo,Cayo,Western Belize ,Yes,2014,4,4,4,0,1,0,0,,
Casa Sophia,Cayo,Belmopan,Western Belize ,Yes,2014,5,5,6,1,0,0,0,17.123554,-88.56293
Casa Tortuga Villa,Belize,San Pedro,Nothern Islands,Yes,1995,5,5,5,1,1,0,0,,
Casa Tuilpan,Belize,San Pedro,Nothern Islands,Yes,2010,1,1,1,1,1,0,0,,
Casas Bellas Vista,Stann Creek,Placencia,SouthEastern Coast ,,2013,10,5,6,0,0,1,0,,
Casita Bella Vida,Belize,Caye Caulker,Northern Islands ,Yes,2014,2,2,2,0,0,0,0,,
Casita Del Mar,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2015,2,2,4,0,0,0,0,16.51289,-88.168
Casita Margarita ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2012,1,1,1,0,1,0,0,,
Casitas Calinas,Cayo,Cayo,Western Belize ,Yes,2011,2,2,4,1,1,0,0,17.154659,-88.502372
Caves Branch Jungle Lodge  ,Cayo,Cayo,Western Belize ,Yes,1993,23,23,71,61,28,0,0,17.167308,-88.683435
Caye Casa,Belize,San Pedro,Nothern Islands,Yes,2003,12,11,12,1,3,0,0,17.92783,-87.958048
Caye Caulker Condos,Belize,Caye Caulker,Northern Islands ,Yes,2003,8,8,8,1,4,0,0,17.749141,-88.024039
Caye Caulker Plaza Hotel,Belize,Caye Caulker,Northern Islands ,Yes,2008,31,30,50,5,5,0,0,17.743297,-88.02513
Caye Caulker Towers,Belize,Caye Caulker,Northern Islands ,Yes,2013,4,4,4,0,2,0,0,17.736058,-88.02813
Caye Reef Condo,Belize,Caye Caulker,Northern Islands ,Yes,2009,6,6,14,1,2,0,0,17.748423,-88.024029
Caye Rentals,Belize,Caye Caulker,Northern Islands ,Yes,2013,10,10,12,3,4,0,0,17.743311,-88.025505
